Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2
-0.346914,0.667616,-0.658741,-16.1756,18.8239,41.5705
-0.240529,0.70712,-0.664926,-16.2445,17.89,40.6603
-0.281593,0.73044,-0.622224,-16.9567,18.2188,41.3686
0.996394,-0.0337366,-0.0778566,-14.9844,18.5305,43.9013
0.978944,-0.173932,0.106843,-15.0871,17.4679,44.3325
0.993339,-0.0867501,-0.0758371,-15.1213,17.4075,43.3773
-0.725562,0.63075,-0.275162,-17.3857,18.6259,46.3349
-0.653343,0.713263,-0.253769,-17.7814,18.6545,47.5685
-0.214784,-0.372259,0.902935,-19.0293,9.977,44.7033
0.14185,-0.347893,0.926741,-18.1805,9.20353,44.4018
0.198609,-0.312476,0.928931,-18.2693,10.3179,44.8194
0.519707,-0.559768,-0.645418,-5.63434,-0.444488,38.9794
0.493922,-0.161238,-0.854426,-5.45385,0.30468,38.6392
0.514929,-0.458449,-0.724343,-4.57274,0.0714488,39.3738
0.759561,-0.602115,-0.246018,-5.22617,0.612874,45.4381
0.732441,-0.640954,-0.229583,-5.87834,0.0580205,44.8768
0.753651,-0.62581,-0.200926,-5.34468,0.900029,44.3873
-0.0252222,0.805936,-0.591466,-2.43993,4.52344,41.802
-0.0798162,0.858946,-0.505808,-3.11076,4.80996,42.3128
-0.109159,0.825829,-0.553255,-2.25498,5.06784,42.579
-0.470924,0.802459,-0.366455,0.247135,7.79611,45.5774
-0.459079,0.828197,-0.321459,-0.765203,7.17545,45.5106
-0.583453,0.784222,0.211136,-4.20351,5.2229,46.0208
-0.535309,0.844615,0.00837322,-3.27909,5.8618,45.8966
-0.472867,0.880933,0.0188088,-3.97157,5.47187,45.1448
0.671785,-0.735986,-0.0838377,-4.14456,1.53119,46.9679
0.752337,-0.622971,-0.214232,-3.91088,2.01645,46.0487
0.753217,-0.620368,-0.218649,-3.31295,2.49234,46.7367
-0.928859,0.349249,-0.123479,-17.9069,15.7768,42.4773
-0.8907,0.399142,-0.217575,-18.0016,15.9165,43.2764
-0.92739,0.363361,-0.0889708,-17.5554,16.7356,42.7296
-0.0151273,-0.457231,0.889219,-19.1061,14.3304,46.5627
0.317528,-0.4149,0.852663,-18.1782,13.9742,46.2088
0.330832,-0.446821,0.831204,-18.0869,14.8964,46.648
0.279925,-0.684395,0.673235,-4.4325,0.85827,42.0247
0.387989,-0.758317,0.523852,-4.01159,1.68069,42.8394
0.421792,-0.768906,0.480495,-4.95081,1.08413,42.6545
0.371906,-0.847188,0.379419,-8.43788,-2.22106,40.1471
0.475844,-0.876409,-0.0740219,-7.88522,-2.31134,39.2356
0.347256,-0.937348,-0.0281433,-7.47505,-2.12269,40.0547
0.713565,0.264372,-0.648793,-16.6772,16.1551,39.2909
0.778017,0.168913,-0.60511,-16.2945,15.2844,39.3654
0.707086,0.174048,-0.685373,-16.889,15.1296,38.725
-0.110123,0.635336,-0.764343,-17.4052,16.731,39.8362
-0.167558,0.707963,-0.686085,-17.1824,17.5789,40.5839
-0.127977,0.648501,-0.750379,-16.4258,17.1227,40.0239
-0.8072,0.477151,-0.347497,-18.176,16.1603,44.2149
-0.804257,0.438581,-0.401019,-18.5021,15.1446,43.7301
-0.910551,0.345604,-0.226838,-18.3052,14.8047,42.6598
-0.767952,0.418706,-0.484701,-18.8861,14.1117,43.4457
-0.0184289,-0.350341,0.936441,-17.5625,-10.4866,39.2419
-0.102588,-0.290411,0.951387,-18.7239,-10.0083,39.3301
-0.0571531,-0.38972,0.919158,-18.2266,-10.9465,39.0223
0.862403,-0.355763,-0.360131,0.711703,3.37297,42.4184
-0.417574,0.908216,-0.0278593,-4.62227,5.16531,44.3494
-0.33135,0.934109,-0.132846,-5.11027,4.91744,43.4692
-0.479858,0.873654,0.0804069,-5.57133,4.67055,44.1896
-0.296372,0.876912,-0.378403,-1.92904,6.21304,44.4134
-0.356173,0.831887,-0.425564,-1.015,6.61312,44.5819
-0.252958,0.812585,-0.525089,-1.11431,6.07391,43.6959
0.42455,-0.861301,0.279137,-10.4746,-3.55475,39.6674
0.518639,-0.836356,0.177543,-10.6783,-3.94122,38.6313
0.492181,-0.860009,0.13469,-9.76855,-3.38745,39.0091
0.063768,-0.830049,0.554033,-7.65659,-0.763187,44.3368
0.321742,-0.883105,0.341479,-6.60076,-0.450097,44.2114
0.342874,-0.88441,0.316633,-6.78441,-0.217734,45.1422
0.826749,0.227908,-0.514339,-15.8385,12.2578,39.1487
0.928925,0.16959,-0.329148,-15.4376,12.5731,40.0784
0.921048,0.167586,-0.351547,-15.3918,11.4349,39.5871
-0.786454,0.616706,-0.0341208,-20.1549,15.6212,45.9374
-0.842637,0.52511,-0.119256,-19.9198,15.9855,47.103
-0.684707,0.615472,-0.390345,-19.4953,16.4818,46.2889
-0.41,-0.262066,0.873626,-22.3015,-9.36845,38.5057
-0.333563,-0.208089,0.919475,-21.5071,-8.93559,38.9423
-0.410055,-0.194526,0.891075,-22.5447,-8.35151,38.6503
-0.966499,0.139269,-0.215601,-19.6356,4.28786,38.5492
-0.996226,0.0499251,0.0710021,-19.6293,4.98277,37.5375
-0.970111,0.17827,-0.164636,-19.8183,3.86532,37.6134
-0.366762,-0.313922,0.87575,-21.6347,-10.114,38.5515
0.439761,-0.802667,0.402909,-15.954,-13.2,37.0633
0.550097,-0.790245,0.270013,-14.9458,-12.631,37.0997
0.259968,-0.7019,0.663139,-15.7347,-12.5072,38.007
0.0739349,0.0654276,0.995114,-17.5674,-3.46547,39.6611
-0.0372371,0.0429848,0.998381,-18.5248,-3.23666,39.6721
-0.00926304,0.0498702,0.998713,-18.203,-4.31514,39.7335
0.124554,-0.853427,0.506112,-11.227,-3.48795,40.5918
0.384723,-0.844151,0.37336,-11.3174,-3.96787,39.5473
0.169057,0.469465,-0.866615,-0.789295,3.87709,41.2654
0.0899599,0.520486,-0.849118,-0.164456,4.50417,41.6806
0.223623,-0.617274,0.754298,-2.26839,1.68,42.0534
0.249012,-0.650942,0.717124,-3.42169,1.29959,42.0842
0.21615,-0.651464,0.727237,-2.7507,0.815931,41.5708
0.499449,-0.783772,-0.369124,-5.01848,-0.737173,39.9286
0.533789,-0.761206,-0.368285,-5.974,-1.23302,39.6155
0.258983,0.387271,-0.884844,0.949621,4.38529,41.9463
0.089656,0.636937,-0.765685,-1.86551,3.94847,41.1556
0.0547752,0.733374,-0.677615,-3.02261,4.00911,41.1071
-0.22481,0.0573797,0.972712,-20.8891,-4.64018,39.397
-0.314294,0.0928741,0.944772,-21.9117,-4.74882,39.136
-0.232372,0.0139983,0.972526,-21.0822,-5.46239,39.3804
-0.74502,0.387728,0.542781,-12.2472,-0.271105,41.5555
-0.679658,-0.0019429,0.733526,-12.639,-1.34932,41.4694
-0.666485,-0.02851,0.744973,-11.9421,-0.968299,42.0924
0.881861,-0.258783,0.394147,-15.3147,18.3721,45.9068
0.893459,-0.275947,0.354378,-15.3447,17.4233,45.3115
0.981595,-0.13776,0.132262,-14.9926,18.5177,44.9189
0.596114,-0.319671,0.736517,-17.003,13.5148,45.1914
0.597897,-0.241507,0.764325,-16.8991,12.2889,44.7001
0.70451,-0.266995,0.657556,-16.428,13.4208,44.6451
0.776425,-0.352145,0.522645,-15.8784,17.3943,46.2328
-0.973307,0.221901,-0.0585863,-18.3146,13.7323,40.6303
-0.981876,0.178999,0.062274,-18.4384,13.1047,39.5278
-0.978607,0.186903,-0.0859973,-18.5202,12.7383,40.5505
-0.985642,0.156337,0.0637907,-19.3979,7.02029,38.4465
-0.987133,0.11766,0.108279,-19.6814,6.06003,37.9283
-0.967578,0.207797,-0.143569,-19.4372,6.37505,39.0407
-0.813072,-0.339039,0.473251,-24.2805,-9.42843,36.9062
-0.93338,-0.299508,0.197728,-24.427,-9.92963,36.0417
-0.773384,-0.38596,0.502904,-23.9095,-10.4081,36.7779
-0.994686,-0.0293921,-0.0986733,-20.3625,10.0017,42.3496
-0.971057,-0.100529,0.216663,-20.4757,8.80805,42.7498
-0.930799,-0.226228,0.287114,-20.5111,9.84872,43.3712
0.327927,-0.368896,0.869701,-17.5607,7.27151,43.4981
0.608383,-0.317271,0.727468,-16.7638,6.79854,42.8015
0.627912,-0.282875,0.725058,-16.7237,7.86038,43.204
-0.125215,-0.0252567,0.991808,-19.4552,-6.2075,39.6684
-0.163345,0.0231174,0.986298,-19.9684,-5.1033,39.5963
-0.19109,-0.0267544,0.981208,-20.4358,-6.24331,39.5155
-0.802599,-0.395896,0.446208,-23.7403,-11.8126,35.8832
-0.649198,-0.484404,0.586425,-23.0391,-12.2805,36.4146
-0.723302,-0.418389,0.549349,-23.5025,-11.3428,36.6149
-0.184296,-0.184935,0.965315,-19.8283,-9.17179,39.3783
-0.242859,-0.132663,0.960948,-20.6631,-8.36515,39.2961
-0.284702,-0.244723,0.926852,-20.7422,-9.55816,39.0549
-0.249651,-0.583482,0.772802,-20.1993,-13.2248,37.4401
-0.0868043,-0.61258,0.785627,-18.973,-13.5409,37.4794
-0.181035,-0.522166,0.833408,-19.6592,-12.7395,37.9301
0.425753,-0.697803,0.576026,-14.7659,-12.0093,38.0868
0.12805,-0.504545,0.853837,-15.613,-11.4476,38.7029
0.57019,-0.584163,-0.577613,-6.54357,-1.02712,38.7163
0.594315,-0.38724,-0.704865,-7.20208,-0.883647,37.9683
0.499645,-0.175061,-0.848357,-6.37885,-0.0130706,38.2356
0.57899,-0.680417,-0.449226,-7.48879,-1.73864,38.5294
-0.193934,0.919474,-0.34199,-4.9838,4.65541,42.5145
-0.219602,0.912625,-0.344805,-5.90198,4.27128,41.9813
-0.353789,0.927102,-0.123753,-5.84216,4.5934,42.9573
-0.0345387,0.781617,-0.622801,-7.41946,2.3435,39.0576
0.0102924,0.748361,-0.663212,-6.44467,2.68163,39.4625
0.1735,0.56587,-0.806033,-6.66827,1.85365,38.6263
-0.042625,0.850015,-0.525031,-3.6995,4.41483,41.6959
-0.478807,0.332898,0.812356,-14.6125,-1.62315,39.4944
-0.311678,0.0666756,0.947846,-14.8149,-2.61711,39.5376
-0.634253,-0.032803,0.772429,-14.0915,-2.2314,40.0384
-0.693802,-0.0101792,0.720094,-13.3615,-1.77168,40.7793
-0.71546,0.369092,0.593202,-13.8619,-1.17612,40.0244
0.0276126,0.0192531,0.999433,-16.3189,-6.26409,39.7724
0.029975,0.0469925,0.998445,-16.8865,-5.50397,39.764
-0.00430514,-0.00517299,0.999977,-17.4024,-6.4415,39.7972
-0.45002,0.868225,-0.208967,-11.2659,1.20343,39.2319
-0.508313,0.857371,-0.0808273,-12.2423,0.641336,39.1231
-0.592618,0.802263,0.0719608,-11.5771,1.08531,40.1097
-0.698065,0.237124,0.675631,-10.1974,0.649104,43.6185
-0.693021,0.585256,0.420948,-10.272,1.31815,42.9062
-0.730566,0.354418,0.583662,-10.9006,0.485226,42.8912
0.986927,0.105104,-0.122178,-15.2858,12.6356,40.9181
0.983664,0.11263,-0.140427,-15.1996,11.5696,40.5645
-0.9958,0.0898481,0.017599,-20.4781,8.96176,41.8293
-0.951367,-0.142001,0.27338,-20.5562,7.96033,41.8991
-0.981728,0.169593,-0.0863084,-18.86,10.5559,40.1629
-0.986324,0.153578,0.0598159,-18.7377,11.2537,39.4628
-0.985899,0.14044,0.0909972,-18.9325,10.2026,39.1052
-0.727684,0.361773,-0.582749,-19.5353,10.3752,41.7693
-0.682842,0.382156,-0.622643,-19.8076,9.45695,41.4663
-0.773151,-0.296506,0.560644,-20.1187,7.76604,42.8899
-0.0638157,-0.533495,0.843392,-18.6434,-12.698,38.0971
0.0619899,-0.63259,0.772002,-17.8262,-13.3461,37.6418
0.0338648,-0.540114,0.84091,-17.5823,-12.479,38.2598
-0.797988,0.224003,0.559498,-20.267,-0.0869264,38.6829
-0.763458,0.497033,0.412419,-20.7992,-0.26418,37.9033
-0.616017,0.422981,0.664538,-20.9629,-1.06704,38.5631
-0.980223,0.175614,-0.0912296,-19.1186,8.53588,39.5157
-0.973797,0.181444,-0.137103,-19.2705,7.47138,39.2956
-0.806516,0.310268,-0.503255,-19.53,7.9178,40.2933
-0.565549,0.406541,0.71755,-21.7358,-1.92911,38.4617
-0.747102,0.557611,0.361814,-22.4713,-1.98093,37.71
-0.594382,0.370155,0.713929,-22.4486,-2.82209,38.363
-0.563528,-0.462132,0.684741,-22.7197,-11.6629,37.1821
-0.774802,-0.547633,0.315881,-23.5608,-15.553,31.9274
-0.6865,-0.679653,0.258437,-23.0069,-16.4394,31.4569
-0.668225,-0.649224,0.363296,-22.8347,-16.1136,32.4935
-0.456639,-0.585953,0.669432,-21.7899,-13.571,36.4046
-0.321587,-0.61249,0.722106,-20.7654,-13.8866,36.6826
-0.378769,-0.558626,0.737883,-21.294,-12.9497,37.2005
0.13121,-0.721276,0.680107,-17.9842,-14.1102,36.9654
0.337387,-0.761717,0.553134,-16.9456,-13.8258,37.0181
-0.210103,-0.62306,0.753428,-19.7969,-13.9867,36.9525
-0.0519106,-0.679027,0.732276,-19.0961,-14.4121,36.7448
-0.53344,-0.244483,0.809734,-9.61489,-0.138323,44.0474
-0.583041,-0.176904,0.792949,-10.5253,-0.486722,43.3178
-0.287071,-0.583869,0.759399,-9.50243,-1.10416,43.5945
0.588691,-0.803988,-0.0839494,-10.0973,-3.58501,38.0813
0.70601,-0.706032,-0.0553973,-10.7076,-4.01803,37.4975
0.655598,-0.297595,-0.693995,-0.619729,1.79699,41.2519
0.579235,-0.301858,-0.757211,-1.35847,2.26124,40.4897
-0.522467,-0.366171,0.770031,-13.337,-2.76116,40.5142
-0.632354,0.682745,0.366045,-14.1221,-0.63604,39.0357
0.0691956,0.102864,0.992286,-16.6086,-3.56076,39.5763
0.116815,0.0921445,0.98887,-16.9037,-2.79589,39.5215
-0.674235,0.642716,0.363764,-13.2977,-0.312391,39.8817
-0.626697,0.754027,0.196707,-12.5291,0.391201,39.8725
-0.530473,0.83957,0.117133,-13.2083,0.0246603,38.9673
0.846457,-0.150773,0.510665,-15.7119,11.9992,43.2409
0.765652,-0.204835,0.60977,-16.1225,12.6214,44.0263
0.738269,-0.181432,0.649647,-16.2957,11.6476,43.9408
0.996651,0.0460607,0.0675634,-15.1337,11.716,41.5976
0.99818,0.0540803,0.0266908,-15.2235,12.7455,41.8773
0.99815,-0.0113678,-0.0597218,-14.9519,19.693,44.3678
-0.982076,0.169686,-0.0820591,-19.0003,9.48605,39.8483
-0.884189,0.271232,-0.38032,-19.117,9.90475,40.8575
-0.925666,0.234709,-0.29674,-18.9394,10.984,41.0968
-0.986121,0.126285,0.107781,-19.1059,9.18854,38.8293
-0.923615,-0.220393,0.313629,-20.2656,5.78886,41.4607
-0.687861,-0.341941,0.640253,-19.7467,4.88203,41.8309
-0.612339,-0.358713,0.704532,-19.6639,5.85893,42.4041
-0.963207,0.0304707,-0.267029,-20.1478,3.78299,39.2448
-0.986486,0.130305,-0.0993307,-19.8764,2.99645,38.5418
-0.991133,-0.107635,0.0779135,-20.1387,2.72299,39.5349
-0.599611,-0.538305,0.592194,-22.7097,-13.2214,35.9404
-0.514153,-0.52694,0.676744,-22.2593,-12.6473,36.8264
0.156305,-0.112879,0.981238,-14.8638,-7.93333,39.6055
0.0624051,-0.0398339,0.997256,-15.5953,-7.09125,39.7464
0.0540865,-0.107303,0.992754,-15.9346,-8.04534,39.7045
-0.331884,0.890842,-0.310246,-7.64846,3.32353,40.8733
-0.285785,0.896938,-0.337386,-6.74597,3.83309,41.4262
-0.158428,0.851977,-0.499034,-6.73093,3.33685,40.3928
-0.235948,-0.426726,0.87306,-18.7609,6.1053,42.9763
-0.336282,-0.415837,0.844982,-19.0324,5.11597,42.4047
-0.526699,-0.292667,0.798081,-11.1591,-1.25087,42.6422
-0.293623,-0.57286,0.765256,-10.2296,-1.54985,42.9765
-0.379939,-0.42869,0.819678,-19.0686,4.03733,41.8462
-0.423477,-0.421814,0.801711,-19.1001,2.97923,41.2814
-0.0403301,-0.455921,0.889106,-18.2499,3.38898,41.708
-0.178076,0.83549,-0.519852,-10.3911,0.78918,37.4335
-0.234939,0.850564,-0.470473,-9.84149,1.36023,38.2092
0.0394517,0.701224,-0.711849,-9.31652,0.916986,37.4199
-0.689054,0.640069,0.339876,-10.8908,1.15214,42.0692
-0.647622,0.741649,0.174765,-11.0116,1.35217,41.1292
-0.735033,0.548694,0.398324,-11.552,0.568981,41.8035
0.499321,0.258288,-0.827022,-16.9952,14.0825,38.3748
0.17373,0.403778,-0.89821,-17.7527,14.7428,38.4151
0.967105,0.066378,-0.245565,-15.2224,8.32837,38.9259
0.965093,0.0586052,-0.255266,-15.2869,7.25876,38.4436
0.875126,0.155435,-0.458251,-15.5848,8.24356,37.8991
-0.987694,0.155246,0.0189688,-18.9023,11.1106,38.5212
-0.980102,0.153879,-0.125386,-19.1044,10.0112,38.1487
-0.392304,0.205979,-0.896477,-18.7757,10.7768,37.5631
-0.144782,0.196548,-0.969746,-17.9168,10.336,37.1284
-0.623986,0.149029,-0.767093,-18.6876,9.76278,37.308
-0.704965,0.193204,-0.682419,-18.8067,4.23036,36.1342
-0.40772,0.26232,-0.874615,-18.2131,4.7864,35.7995
-0.518339,0.22403,-0.825309,-18.3396,3.49033,35.5159
-0.96635,-0.234283,0.106201,-24.729,-8.91982,36.1078
-0.871339,-0.253724,0.419992,-24.6029,-8.43131,37.0486
-0.0300187,-0.208657,0.977528,-17.8457,-9.55529,39.5236
0.0423214,-0.268547,0.962336,-16.6364,-10.0081,39.3883
0.0158271,-0.154587,0.987852,-17.0963,-9.13217,39.5881
-0.795566,-0.057546,0.603127,-24.5827,-6.52128,37.8322
-0.505464,-0.144527,0.850657,-23.799,-6.90125,38.2779
-0.534998,0.0518248,0.843262,-23.7948,-5.73883,38.4009
-0.830827,-0.267355,0.488107,-20.1689,6.82748,42.3028
0.128717,0.000976318,0.991681,-17.6505,-2.20994,39.6174
-0.514861,0.14683,0.844606,-20.077,-1.10137,39.2011
0.168274,0.109358,0.979655,-16.6158,-1.95815,39.3941
0.3074,0.167497,0.936723,-16.2591,-1.01277,39.164
0.346209,-0.0627924,0.936054,-17.1935,-1.03734,39.522
-0.522914,-0.206888,0.826897,-23.5381,-7.99618,38.2121
-0.784301,-0.203251,0.58614,-24.4995,-7.62877,37.5755
-0.65772,-0.295316,0.69296,-24.0054,-8.68724,37.6358
-0.778426,-0.580121,0.239818,-23.7651,-15.7819,30.9643
-0.870929,-0.437516,0.223745,-24.3835,-14.9647,30.444
-0.764441,-0.632136,0.126625,-23.9578,-15.8605,30.0127
-0.857532,-0.484046,0.174176,-24.5675,-15.022,29.5453
0.814961,-0.574498,0.0760967,-16.0176,-13.7969,34.2997
0.766013,-0.623049,0.158224,-15.5481,-13.1515,33.3861
0.768849,-0.638879,-0.0265462,-15.5007,-13.0434,34.4214
0.875983,-0.465406,0.126694,-12.9323,-10.1322,36.9794
0.948699,-0.29598,0.111206,-12.5091,-9.14349,36.8559
0.900453,-0.344033,0.266131,-12.8137,-9.46516,37.8769
0.397353,-0.206458,0.89414,-13.7197,-9.18212,39.1479
0.463632,-0.268716,0.844297,-13.2842,-9.76556,38.6926
0.734459,-0.227394,0.639423,-12.8677,-8.60051,38.7174
0.777964,-0.626411,-0.0488063,-13.8879,-11.4717,35.9904
0.727293,-0.684713,-0.0470302,-14.3029,-11.829,34.9893
0.740623,-0.671466,0.0247365,-13.4992,-11.0069,35.0804
0.965483,-0.246022,0.0855329,-12.2516,-8.12631,36.5044
0.941853,-0.26881,0.201628,-12.1114,-8.14619,35.3387
0.956019,-0.247663,0.157133,-12.0096,-7.40573,35.8709
0.906354,-0.209085,0.36716,-12.061,-6.51636,38.1268
0.957253,-0.250155,0.14522,-12.1224,-7.45473,37.4678
0.964266,-0.242616,0.106437,-11.8566,-6.48718,37.2635
0.370806,-0.776249,0.509844,-12.2133,-4.6845,39.1379
0.490028,-0.811238,0.319008,-11.6089,-4.44966,38.7287
0.651522,-0.586852,-0.480753,-8.97926,-2.35831,37.4048
0.688442,-0.660456,-0.299741,-9.88251,-3.14956,37.1821
0.678814,-0.347103,-0.647094,-9.55204,-2.29539,36.6278
-0.0410342,0.794864,-0.605399,-5.93706,3.29193,40.18
0.11963,0.658408,-0.743093,-5.31019,2.79013,39.6597
-0.181253,0.854788,-0.486298,-7.56349,2.88795,39.8778
0.641158,-0.355979,0.67985,-16.678,4.76597,41.7438
0.778117,-0.298446,0.552688,-16.0187,5.48167,41.3054
0.624748,-0.3363,0.704693,-16.6959,5.80908,42.2962
-0.11132,0.946082,0.304198,-13.8456,-0.118365,37.9699
0.185678,0.853127,0.487542,-14.9484,0.363159,37.5473
-0.103997,0.812189,0.57405,-14.8528,-0.35781,38.3143
-0.040974,0.762423,-0.645781,-8.79955,1.47597,38.0426
0.268772,0.445022,-0.854235,-8.21684,0.741549,37.5557
0.761336,-0.275098,0.587101,-16.0435,6.50551,41.8749
0.877161,-0.226666,0.423334,-15.4878,6.49653,41.0297
0.863162,-0.201201,0.463109,-15.4971,7.44834,41.5031
0.99876,-0.00463057,-0.0495714,-15.0587,8.46418,40.0002
0.997064,-0.0171238,-0.0746376,-15.1101,7.36574,39.4865
0.667898,0.260409,-0.697209,-16.4382,11.164,37.8977
0.715391,0.250066,-0.652444,-16.415,12.1624,38.3185
0.815066,0.225431,-0.533711,-15.8373,11.2901,38.7306
0.794507,0.14858,-0.588798,-16.2849,14.2443,39.1795
0.839044,0.189902,-0.509845,-15.9216,13.1554,39.4149
0.747794,0.2136,-0.628633,-16.4435,13.1632,38.6763
-0.313797,0.207409,-0.92656,-18.0088,8.00725,36.7263
-0.559647,0.13105,-0.818303,-18.6573,8.74968,37.1476
-0.168658,0.182944,-0.968548,-17.8333,9.19771,36.9043
-0.96764,-0.217796,0.12743,-20.708,10.7994,43.1656
-0.816489,0.576521,-0.0311447,-23.7414,-3.51023,36.7332
-0.85321,0.502027,-0.141423,-24.1385,-4.31959,36.1247
-0.865246,0.460616,0.197944,-24.3474,-4.40221,37.1813
-0.316021,-0.00181443,0.94875,-22.2053,-5.65494,39.0744
-0.396923,-0.0536556,0.916282,-22.9977,-6.17557,38.7579
-0.321543,-0.080258,0.943487,-22.0534,-6.79085,39.0681
-0.309007,0.151477,0.938919,-21.2856,-3.74962,39.2177
-0.42002,0.250663,0.872211,-21.5502,-2.84329,38.8864
-0.434334,0.234888,0.869587,-22.2986,-3.78877,38.7809
-0.817625,0.179562,-0.547036,-19.3492,4.17083,36.8203
-0.432538,0.229389,0.871947,-20.8572,-1.98788,38.9762
-0.999181,0.0283814,-0.028848,-25.9368,-6.98985,28.6933
-0.954195,-0.141173,-0.263782,-25.7686,-7.69992,27.8028
-0.989277,-0.142408,-0.0324133,-25.9038,-8.00045,28.9176
-0.952367,0.275762,-0.130205,-25.3416,-4.17677,27.3668
-0.897091,0.147375,-0.416543,-25.2548,-4.781,26.3778
-0.970802,0.174681,-0.164407,-25.6172,-5.25733,27.4595
-0.948597,-0.316473,0.00292776,-25.2049,-14.1311,27.9455
-0.831876,-0.55182,0.0589582,-24.7193,-15.0873,28.5403
-0.928177,-0.333534,0.165051,-25.0175,-14.3008,29.0685
-0.627365,-0.778646,-0.0111023,-23.3881,-16.4093,29.2702
-0.669725,-0.735022,0.10588,-23.0941,-16.6167,30.4029
-0.812552,-0.442848,0.379005,-23.6533,-14.3919,33.3577
-0.850148,-0.418943,0.318959,-23.9537,-14.5783,32.3869
-0.750146,-0.5427,0.377833,-23.313,-15.2875,32.9135
-0.237714,-0.655589,0.716725,-20.082,-14.7329,36.2197
0.0342508,-0.758461,0.650818,-19.1266,-15.1806,35.9886
0.808284,-0.587953,0.0314237,-13.1567,-10.6533,36.0583
0.816987,-0.573022,0.0646394,-13.5519,-11.0459,36.9449
0.937723,-0.28789,0.194412,-11.6603,-5.56431,37.5383
0.0982855,-0.306247,0.946865,-15.494,-10.2518,39.2274
0.258659,-0.507297,0.822037,-14.6992,-11.0967,38.7938
0.273443,-0.295556,0.915355,-14.407,-10.071,39.1318
0.59009,-0.777417,-0.217756,-9.23884,-2.9662,38.155
0.952766,0.218161,0.211288,-10.8198,-2.74423,34.1381
0.983991,-0.0504275,0.170934,-10.8137,-3.80254,34.6836
0.956193,0.0701852,0.2842,-10.5347,-3.61697,33.6039
-0.0582204,0.238708,0.969345,-15.5087,-1.85881,39.2759
-0.289452,0.575665,0.76474,-15.2076,-0.97367,38.9267
-0.711528,0.136283,0.689315,-11.4265,-0.261231,42.5466
-0.930166,-0.212123,0.299658,-20.1827,4.7102,40.9315
-0.995741,-0.0671287,-0.0631913,-20.2864,4.41875,40.0613
-0.957887,-0.189573,0.215675,-20.1177,3.61432,40.2685
-0.52035,-0.379723,0.764883,-19.4905,6.86766,43.0347
-0.126131,-0.422681,0.897458,-18.5226,7.02003,43.5092
0.355067,0.314595,-0.880317,-16.5811,3.81624,35.4638
0.230679,0.375619,-0.897606,-16.7646,2.79595,35.0035
-0.0957695,0.301666,-0.948592,-17.4795,3.68185,35.3129
-0.474896,0.274593,-0.836106,-18.3028,5.90724,36.2134
-0.736401,0.212396,-0.642341,-18.9222,5.0749,36.5059
-0.763081,0.163899,-0.625175,-19.1297,5.96009,37.0957
-0.888178,0.257527,0.380552,-23.9996,-3.46992,33.4985
-0.9048,0.38209,0.188004,-23.6498,-3.61923,34.5749
-0.866112,0.343272,0.363339,-23.4736,-2.63265,34.0907
